control
([10, 'mae', None, 50, False, 1], 0.00901170680662957)
([10, 'mae', None, 50, False, 10], 0.00901170680662957)
([10, 'mae', None, 50, False, 50], 0.014011996370374194)
([50, 'mse', 10, 2, True, 1], 0.0014442845545107428)
([50, 'mse', 10, 2, True, 10], 0.0042855295011235278)
([50, 'mse', 10, 2, True, 50], 0.018009283083210023)
([50, 'mse', 10, 2, False, 1], 0.0013429785012762049)
([50, 'mse', 10, 2, False, 10], 0.0039438938850532698)
([50, 'mse', 10, 2, False, 50], 0.01619701880601274)
([50, 'mse', 10, 10, True, 1], 0.0016619311986217295)
([50, 'mse', 10, 10, True, 10], 0.0039994781693629454)
([50, 'mse', 10, 10, True, 50], 0.018498568989102213)
([50, 'mse', 10, 10, False, 1], 0.0017525542157445415)
([50, 'mse', 10, 10, False, 10], 0.0039438059265792568)
([50, 'mse', 10, 10, False, 50], 0.01619701880601274)
([50, 'mse', 10, 50, True, 1], 0.0087213256524038812)
([50, 'mse', 10, 50, True, 10], 0.0085017228346207993)
([50, 'mse', 10, 50, True, 50], 0.017966463328413361)
([50, 'mse', 10, 50, False, 1], 0.0092861244988657558)
([50, 'mse', 10, 50, False, 10], 0.0092526686504719995)
([50, 'mse', 10, 50, False, 50], 0.016197018806012736)
([50, 'mse', 20, 2, True, 1], 0.0013741980150992616)
([50, 'mse', 20, 2, True, 10], 0.0041195433624491243)
([50, 'mse', 20, 2, True, 50], 0.017793488883943668)
([50, 'mse', 20, 2, False, 1], 0.0013616133088895296)
([50, 'mse', 20, 2, False, 10], 0.0039434540926832221)
([50, 'mse', 20, 2, False, 50], 0.01619701880601274)
([50, 'mse', 20, 10, True, 1], 0.0015839642431429032)
([50, 'mse', 20, 10, True, 10], 0.0041434070225631241)
([50, 'mse', 20, 10, True, 50], 0.019211414936657362)
([50, 'mse', 20, 10, False, 1], 0.0017525542157445415)
([50, 'mse', 20, 10, False, 10], 0.0039438059265792568)
([50, 'mse', 20, 10, False, 50], 0.016197018806012733)
([50, 'mse', 20, 50, True, 1], 0.0088268937733140852)
([50, 'mse', 20, 50, True, 10], 0.0086639800346148214)
([50, 'mse', 20, 50, True, 50], 0.018219249694897466)
([50, 'mse', 20, 50, False, 1], 0.0092861244988657436)
([50, 'mse', 20, 50, False, 10], 0.009252668650472003)
([50, 'mse', 20, 50, False, 50], 0.016197018806012736)
([50, 'mse', None, 2, True, 1], 0.0013967310895874575)
([50, 'mse', None, 2, True, 10], 0.0040672913725666865)
([50, 'mse', None, 2, True, 50], 0.018148059407882441)
([50, 'mse', None, 2, False, 1], 0.0014577910192945305)
([50, 'mse', None, 2, False, 10], 0.0039438499058162633)
([50, 'mse', None, 2, False, 50], 0.016197018806012736)
([50, 'mse', None, 10, True, 1], 0.0015865994918124501)
([50, 'mse', None, 10, True, 10], 0.0039322684839406073)
([50, 'mse', None, 10, True, 50], 0.017065394434773534)
([50, 'mse', None, 10, False, 1], 0.0017525542157445415)
([50, 'mse', None, 10, False, 10], 0.0039435860303942399)
([50, 'mse', None, 10, False, 50], 0.016197018806012736)
([50, 'mse', None, 50, True, 1], 0.0086961272225695961)
([50, 'mse', None, 50, True, 10], 0.0086673155137046067)
([50, 'mse', None, 50, True, 50], 0.018707676941225371)
([50, 'mse', None, 50, False, 1], 0.0092861244988657488)
([50, 'mse', None, 50, False, 10], 0.009252668650472003)
([50, 'mse', None, 50, False, 50], 0.016197018806012733)
([50, 'mae', 10, 2, True, 1], 0.0013158629569661785)
([50, 'mae', 10, 2, True, 10], 0.0049427461760171189)
([50, 'mae', 10, 2, True, 50], 0.018685788458224276)
([50, 'mae', 10, 2, False, 1], 0.0012703824511955174)
([50, 'mae', 10, 2, False, 10], 0.005734312929614821)
([50, 'mae', 10, 2, False, 50], 0.014011996370374275)
([50, 'mae', 10, 10, True, 1], 0.0017937538187242554)
([50, 'mae', 10, 10, True, 10], 0.0048352768175803943)
([50, 'mae', 10, 10, True, 50], 0.018525535531998861)
([50, 'mae', 10, 10, False, 1], 0.0015139876361981055)
([50, 'mae', 10, 10, False, 10], 0.005734312929614821)
([50, 'mae', 10, 10, False, 50], 0.014011996370374275)
([50, 'mae', 10, 50, True, 1], 0.0077483281120747163)
