control
([10, 'mae', None, 50, False, 50], 0.034212828714001664)
([50, 'mse', 10, 2, True, 1], 0.0016774198153657455)
([50, 'mse', 10, 2, True, 10], 0.006253432019879689)
([50, 'mse', 10, 2, True, 50], 0.04218192149698496)
([50, 'mse', 10, 2, False, 1], 0.00140739008240572)
([50, 'mse', 10, 2, False, 10], 0.006737567358492561)
([50, 'mse', 10, 2, False, 50], 0.03909860498750016)
([50, 'mse', 10, 10, True, 1], 0.0027048482153556545)
([50, 'mse', 10, 10, True, 10], 0.006214131903579999)
([50, 'mse', 10, 10, True, 50], 0.04371985912038302)
([50, 'mse', 10, 10, False, 1], 0.004297185397117575)
([50, 'mse', 10, 10, False, 10], 0.00673756735849257)
([50, 'mse', 10, 10, False, 50], 0.03909860498750015)
([50, 'mse', 10, 50, True, 1], 0.02359623709639367)
([50, 'mse', 10, 50, True, 10], 0.023601953642706022)
([50, 'mse', 10, 50, True, 50], 0.0428618043542776)
([50, 'mse', 10, 50, False, 1], 0.020217223882931252)
([50, 'mse', 10, 50, False, 10], 0.020217223882931255)
([50, 'mse', 10, 50, False, 50], 0.03909860498750016)
([50, 'mse', 20, 2, True, 1], 0.0017108824375120797)
([50, 'mse', 20, 2, True, 10], 0.0068706177727409)
([50, 'mse', 20, 2, True, 50], 0.043359774532730454)
([50, 'mse', 20, 2, False, 1], 0.001404840443969238)
([50, 'mse', 20, 2, False, 10], 0.006737567358492568)
([50, 'mse', 20, 2, False, 50], 0.03909860498750016)
([50, 'mse', 20, 10, True, 1], 0.0025734975575225512)
([50, 'mse', 20, 10, True, 10], 0.0071029266425554636)
([50, 'mse', 20, 10, True, 50], 0.04172646516500286)
([50, 'mse', 20, 10, False, 1], 0.004297185397117575)
([50, 'mse', 20, 10, False, 10], 0.006737567358492552)
([50, 'mse', 20, 10, False, 50], 0.03909860498750015)
([50, 'mse', 20, 50, True, 1], 0.023203905549999394)
([50, 'mse', 20, 50, True, 10], 0.023398929761564706)
([50, 'mse', 20, 50, True, 50], 0.04212429134948344)
([50, 'mse', 20, 50, False, 1], 0.020217223882931252)
([50, 'mse', 20, 50, False, 10], 0.020217223882931252)
([50, 'mse', 20, 50, False, 50], 0.03909860498750016)
([50, 'mse', None, 2, True, 1], 0.0016758539162777687)
([50, 'mse', None, 2, True, 10], 0.006970798432315278)
([50, 'mse', None, 2, True, 50], 0.04291990723042556)
([50, 'mse', None, 2, False, 1], 0.0014345857774753085)
([50, 'mse', None, 2, False, 10], 0.006737567358492568)
([50, 'mse', None, 2, False, 50], 0.039098604987500146)
([50, 'mse', None, 10, True, 1], 0.0026982289445581925)
([50, 'mse', None, 10, True, 10], 0.0063108171663324875)
([50, 'mse', None, 10, True, 50], 0.043602063431806296)
([50, 'mse', None, 10, False, 1], 0.004297185397117575)
([50, 'mse', None, 10, False, 10], 0.006737567358492574)
([50, 'mse', None, 10, False, 50], 0.03909860498750015)
([50, 'mse', None, 50, True, 1], 0.02213760647971127)
([50, 'mse', None, 50, True, 10], 0.023074596208675056)
([50, 'mse', None, 50, True, 50], 0.0429399030299942)
([50, 'mse', None, 50, False, 1], 0.020217223882931252)
([50, 'mse', None, 50, False, 10], 0.020217223882931252)
([50, 'mse', None, 50, False, 50], 0.03909860498750015)
([50, 'mae', 10, 2, True, 1], 0.0019637077771197287)
([50, 'mae', 10, 2, True, 10], 0.00631246908876486)
([50, 'mae', 10, 2, True, 50], 0.03938367759741787)
([50, 'mae', 10, 2, False, 1], 0.0014230977956574192)
([50, 'mae', 10, 2, False, 10], 0.006352925947945185)
([50, 'mae', 10, 2, False, 50], 0.034212828714001595)
([50, 'mae', 10, 10, True, 1], 0.002749803368314366)
([50, 'mae', 10, 10, True, 10], 0.006053083859097517)
([50, 'mae', 10, 10, True, 50], 0.03872977922224932)
([50, 'mae', 10, 10, False, 1], 0.0034140981080453686)
([50, 'mae', 10, 10, False, 10], 0.006352925947945185)
([50, 'mae', 10, 10, False, 50], 0.034212828714001595)
([50, 'mae', 10, 50, True, 1], 0.02202211234490425)
([50, 'mae', 10, 50, True, 10], 0.022055599440824455)
([50, 'mae', 10, 50, True, 50], 0.0398348826926838)
([50, 'mae', 10, 50, False, 1], 0.016160237195212215)
([50, 'mae', 10, 50, False, 10], 0.016160237195212215)
([50, 'mae', 10, 50, False, 50], 0.034212828714001595)
([50, 'mae', 20, 2, True, 1], 0.0016426441952910893)
([50, 'mae', 20, 2, True, 10], 0.00605263938882108)
([50, 'mae', 20, 2, True, 50], 0.03899535508031554)
([50, 'mae', 20, 2, False, 1], 0.001400424780364115)
([50, 'mae', 20, 2, False, 10], 0.006352925947945185)
([50, 'mae', 20, 2, False, 50], 0.034212828714001595)
([50, 'mae', 20, 10, True, 1], 0.002991256140625096)
([50, 'mae', 20, 10, True, 10], 0.007075875372397697)
([50, 'mae', 20, 10, True, 50], 0.04040320695333082)
([50, 'mae', 20, 10, False, 1], 0.0034140981080453686)
([50, 'mae', 20, 10, False, 10], 0.006352925947945185)
([50, 'mae', 20, 10, False, 50], 0.034212828714001595)
([50, 'mae', 20, 50, True, 1], 0.02383227602217723)
([50, 'mae', 20, 50, True, 10], 0.020965818525828826)
([50, 'mae', 20, 50, True, 50], 0.03801207830706983)
([50, 'mae', 20, 50, False, 1], 0.016160237195212215)
([50, 'mae', 20, 50, False, 10], 0.016160237195212215)
([50, 'mae', 20, 50, False, 50], 0.034212828714001595)
([50, 'mae', None, 2, True, 1], 0.001495610689947034)
([50, 'mae', None, 2, True, 10], 0.0061900163034870745)
([50, 'mae', None, 2, True, 50], 0.03998857442608381)
([50, 'mae', None, 2, False, 1], 0.0014210011513873383)
([50, 'mae', None, 2, False, 10], 0.006352925947945185)
([50, 'mae', None, 2, False, 50], 0.034212828714001595)
([50, 'mae', None, 10, True, 1], 0.003015418588006742)
([50, 'mae', None, 10, True, 10], 0.005879753690496393)
([50, 'mae', None, 10, True, 50], 0.03888819867165767)
([50, 'mae', None, 10, False, 1], 0.0034140981080453686)
([50, 'mae', None, 10, False, 10], 0.006352925947945185)
([50, 'mae', None, 10, False, 50], 0.034212828714001595)
([50, 'mae', None, 50, True, 1], 0.02199384256503586)
([50, 'mae', None, 50, True, 10], 0.021821315378812982)
([50, 'mae', None, 50, True, 50], 0.03865879977677672)
([50, 'mae', None, 50, False, 1], 0.016160237195212215)
([50, 'mae', None, 50, False, 10], 0.016160237195212215)
([50, 'mae', None, 50, False, 50], 0.034212828714001595)
([100, 'mse', 10, 2, True, 1], 0.0016712430818215862)
([100, 'mse', 10, 2, True, 10], 0.006203389521632092)
([100, 'mse', 10, 2, True, 50], 0.04327235678155251)
([100, 'mse', 10, 2, False, 1], 0.001417166373813008)
([100, 'mse', 10, 2, False, 10], 0.006737567358492722)
([100, 'mse', 10, 2, False, 50], 0.039098604987500125)
([100, 'mse', 10, 10, True, 1], 0.0027229637420695093)
([100, 'mse', 10, 10, True, 10], 0.006286752669160529)
([100, 'mse', 10, 10, True, 50], 0.04272063569069739)
([100, 'mse', 10, 10, False, 1], 0.004297185397117654)
([100, 'mse', 10, 10, False, 10], 0.006737567358492712)
([100, 'mse', 10, 10, False, 50], 0.03909860498750012)
([100, 'mse', 10, 50, True, 1], 0.022457324562757154)
([100, 'mse', 10, 50, True, 10], 0.022423587770393435)
([100, 'mse', 10, 50, True, 50], 0.04362493142842669)
([100, 'mse', 10, 50, False, 1], 0.020217223882931245)
([100, 'mse', 10, 50, False, 10], 0.020217223882931245)
([100, 'mse', 10, 50, False, 50], 0.03909860498750012)
([100, 'mse', 20, 2, True, 1], 0.0016875115319116884)
([100, 'mse', 20, 2, True, 10], 0.006516127235632846)
([100, 'mse', 20, 2, True, 50], 0.042861856050580564)
([100, 'mse', 20, 2, False, 1], 0.0014456512468651972)
([100, 'mse', 20, 2, False, 10], 0.006737567358492703)
([100, 'mse', 20, 2, False, 50], 0.03909860498750012)
([100, 'mse', 20, 10, True, 1], 0.002571310259008361)
([100, 'mse', 20, 10, True, 10], 0.006178687541531771)
([100, 'mse', 20, 10, True, 50], 0.04283363833613994)
([100, 'mse', 20, 10, False, 1], 0.004297185397117654)
([100, 'mse', 20, 10, False, 10], 0.0067375673584927085)
([100, 'mse', 20, 10, False, 50], 0.03909860498750012)
([100, 'mse', 20, 50, True, 1], 0.02288575383052254)
([100, 'mse', 20, 50, True, 10], 0.022795648354761652)
([100, 'mse', 20, 50, True, 50], 0.0431824702626119)
([100, 'mse', 20, 50, False, 1], 0.020217223882931252)
([100, 'mse', 20, 50, False, 10], 0.020217223882931245)
([100, 'mse', 20, 50, False, 50], 0.03909860498750012)
([100, 'mse', None, 2, True, 1], 0.001733886411824268)
([100, 'mse', None, 2, True, 10], 0.006685434632688212)
([100, 'mse', None, 2, True, 50], 0.042508777250614804)
([100, 'mse', None, 2, False, 1], 0.0014221089365968865)
([100, 'mse', None, 2, False, 10], 0.006737567358492716)
([100, 'mse', None, 2, False, 50], 0.03909860498750012)
([100, 'mse', None, 10, True, 1], 0.0028107216185432843)
([100, 'mse', None, 10, True, 10], 0.006371905140315245)
([100, 'mse', None, 10, True, 50], 0.04264223294310335)
([100, 'mse', None, 10, False, 1], 0.004297185397117654)
([100, 'mse', None, 10, False, 10], 0.0067375673584926955)
([100, 'mse', None, 10, False, 50], 0.03909860498750012)
([100, 'mse', None, 50, True, 1], 0.023163841469003677)
([100, 'mse', None, 50, True, 10], 0.023031429135153353)
([100, 'mse', None, 50, True, 50], 0.04253476404748749)
([100, 'mse', None, 50, False, 1], 0.020217223882931252)
([100, 'mse', None, 50, False, 10], 0.020217223882931245)
([100, 'mse', None, 50, False, 50], 0.03909860498750012)
([100, 'mae', 10, 2, True, 1], 0.001659002180942849)
([100, 'mae', 10, 2, True, 10], 0.006003954642996117)
([100, 'mae', 10, 2, True, 50], 0.03961185355769176)
([100, 'mae', 10, 2, False, 1], 0.0014042645526755038)
([100, 'mae', 10, 2, False, 10], 0.006352925947945323)
([100, 'mae', 10, 2, False, 50], 0.03421282871400183)
([100, 'mae', 10, 10, True, 1], 0.0028366106152078914)
([100, 'mae', 10, 10, True, 10], 0.006468607794121372)
([100, 'mae', 10, 10, True, 50], 0.039998954593784594)
([100, 'mae', 10, 10, False, 1], 0.003414098108045516)
([100, 'mae', 10, 10, False, 10], 0.006352925947945323)
([100, 'mae', 10, 10, False, 50], 0.03421282871400183)
([100, 'mae', 10, 50, True, 1], 0.021624631413188468)
([100, 'mae', 10, 50, True, 10], 0.020884391540190173)
([100, 'mae', 10, 50, True, 50], 0.039698805791866146)
([100, 'mae', 10, 50, False, 1], 0.016160237195212437)
([100, 'mae', 10, 50, False, 10], 0.016160237195212437)
([100, 'mae', 10, 50, False, 50], 0.03421282871400183)
([100, 'mae', 20, 2, True, 1], 0.0017479123508276212)
([100, 'mae', 20, 2, True, 10], 0.0063624278644402)
([100, 'mae', 20, 2, True, 50], 0.03908356542868061)
([100, 'mae', 20, 2, False, 1], 0.0014071579445633453)
([100, 'mae', 20, 2, False, 10], 0.006352925947945323)
([100, 'mae', 20, 2, False, 50], 0.03421282871400183)
([100, 'mae', 20, 10, True, 1], 0.002941137744934805)
([100, 'mae', 20, 10, True, 10], 0.005994572447157156)
([100, 'mae', 20, 10, True, 50], 0.04033373919448043)
([100, 'mae', 20, 10, False, 1], 0.003414098108045516)
([100, 'mae', 20, 10, False, 10], 0.006352925947945323)
([100, 'mae', 20, 10, False, 50], 0.03421282871400183)
([100, 'mae', 20, 50, True, 1], 0.02136330733000931)
([100, 'mae', 20, 50, True, 10], 0.020009622962513428)
([100, 'mae', 20, 50, True, 50], 0.03891526476502288)
([100, 'mae', 20, 50, False, 1], 0.016160237195212437)
([100, 'mae', 20, 50, False, 10], 0.016160237195212437)
([100, 'mae', 20, 50, False, 50], 0.03421282871400183)
([100, 'mae', None, 2, True, 1], 0.0017201827739416027)
([100, 'mae', None, 2, True, 10], 0.005924574275437078)
([100, 'mae', None, 2, True, 50], 0.039776517403175275)
([100, 'mae', None, 2, False, 1], 0.0014281692714536698)
([100, 'mae', None, 2, False, 10], 0.006352925947945323)
([100, 'mae', None, 2, False, 50], 0.03421282871400183)
([100, 'mae', None, 10, True, 1], 0.002852085052327193)
([100, 'mae', None, 10, True, 10], 0.00593027292579218)
([100, 'mae', None, 10, True, 50], 0.03972457553554137)
([100, 'mae', None, 10, False, 1], 0.003414098108045516)
([100, 'mae', None, 10, False, 10], 0.006352925947945323)
([100, 'mae', None, 10, False, 50], 0.03421282871400183)
([100, 'mae', None, 50, True, 1], 0.023309922831154496)
([100, 'mae', None, 50, True, 10], 0.020862495886669805)
([100, 'mae', None, 50, True, 50], 0.039746977002548915)
([100, 'mae', None, 50, False, 1], 0.016160237195212437)
([100, 'mae', None, 50, False, 10], 0.016160237195212437)
([100, 'mae', None, 50, False, 50], 0.03421282871400183)
intermediate_dimension
([10, 'mse', 10, 2, True, 1], 0.0020535477328318275)
([10, 'mse', 10, 2, True, 10], 0.0076627847330009045)
([10, 'mse', 10, 2, True, 50], 0.04529646148168588)
([10, 'mse', 10, 2, False, 1], 0.0016217317240540968)
([10, 'mse', 10, 2, False, 10], 0.006737567358492455)
([10, 'mse', 10, 2, False, 50], 0.039098604987500174)
([10, 'mse', 10, 10, True, 1], 0.003273507395519053)
([10, 'mse', 10, 10, True, 10], 0.0069598520655601214)
([10, 'mse', 10, 10, True, 50], 0.04310978318623012)
([10, 'mse', 10, 10, False, 1], 0.0042971853971176584)
([10, 'mse', 10, 10, False, 10], 0.006737567358492458)
([10, 'mse', 10, 10, False, 50], 0.039098604987500174)
([10, 'mse', 10, 50, True, 1], 0.022645442793265712)
([10, 'mse', 10, 50, True, 10], 0.022612857405272396)
([10, 'mse', 10, 50, True, 50], 0.043270042294824985)
([10, 'mse', 10, 50, False, 1], 0.020217223882931207)
([10, 'mse', 10, 50, False, 10], 0.020217223882931207)
([10, 'mse', 10, 50, False, 50], 0.039098604987500174)
([10, 'mse', 20, 2, True, 1], 0.0019119969188440339)
([10, 'mse', 20, 2, True, 10], 0.007564785464394831)
([10, 'mse', 20, 2, True, 50], 0.043079689511369465)
([10, 'mse', 20, 2, False, 1], 0.0016616548983602703)
([10, 'mse', 20, 2, False, 10], 0.006737567358492451)
([10, 'mse', 20, 2, False, 50], 0.039098604987500174)
([10, 'mse', 20, 10, True, 1], 0.0034315812207921805)
